Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
63	22:58:31	22:58:31	22:58:31	22:58:31	22:58:31	22:58:31			22:58:31	22:58:31	22:58:32	22:58:32	22:58:41	22:58:41	22:58:41	22:58:41	22:58:41	22:58:41			22:58:42	22:58:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
64	22:58:42	22:58:42	22:58:42	22:58:42	22:58:42	22:58:42			22:58:42	22:58:42	22:58:42	22:58:42	22:58:54	22:58:54	22:58:54	22:58:54	22:58:54	22:58:54			22:58:54	22:58:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
65	22:58:54	22:58:54	22:58:55	22:58:55	22:58:55	22:58:55			22:58:55	22:58:55	22:58:55	22:58:55	22:59:06	22:59:06	22:59:06	22:59:06	22:59:06	22:59:06			22:59:06	22:59:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
66	22:59:06	22:59:06	22:59:06	22:59:06	22:59:07	22:59:07			22:59:07	22:59:07	22:59:07	22:59:07	22:59:19	22:59:19	22:59:19	22:59:19	22:59:19	22:59:19			22:59:20	22:59:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
67	22:59:20	22:59:20	22:59:20	22:59:20	22:59:20	22:59:20			22:59:20	22:59:20	22:59:20	22:59:20	22:59:32	22:59:32	22:59:32	22:59:32	22:59:33	22:59:33			22:59:33	22:59:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
68	22:59:33	22:59:33	22:59:33	22:59:33	22:59:34	22:59:34			22:59:34	22:59:34	22:59:34	22:59:34	22:59:46	22:59:46	22:59:46	22:59:46	22:59:46	22:59:46			22:59:46	22:59:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
69	22:59:47	22:59:47	22:59:47	22:59:47	22:59:47	22:59:47			22:59:47	22:59:47	22:59:47	22:59:47	22:59:58	22:59:58	22:59:58	22:59:58	22:59:58	22:59:58			22:59:59	22:59:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
70	22:59:59	22:59:59	22:59:59	22:59:59	22:59:59	22:59:59			22:59:59	22:59:59	23:00:00	23:00:00	23:00:11	23:00:11	23:00:11	23:00:11	23:00:11	23:00:11	23:00:11	23:00:11	23:00:12	23:00:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12
71	23:00:12	23:00:12	23:00:12	23:00:12	23:00:12	23:00:12			23:00:12	23:00:12	23:00:13	23:00:13	23:00:21	23:00:21	23:00:21	23:00:21	23:00:21	23:00:21			23:00:22	23:00:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:10
72	23:00:22	23:00:22	23:00:22	23:00:22	23:00:22	23:00:22			23:00:23	23:00:23	23:00:23	23:00:23	23:00:32	23:00:32	23:00:32	23:00:32	23:00:32	23:00:32			23:00:33	23:00:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
