Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
60	23:41:57	23:41:57	23:41:57	23:41:57	23:41:57	23:41:57			23:41:57	23:41:57	23:41:57	23:41:57	23:42:05	23:42:05	23:42:05	23:42:05	23:42:05	23:42:05	23:42:05	23:42:05	23:42:06	23:42:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00	00:00:00	00:00:00	00:00:08
61	23:42:06	23:42:06	23:42:06	23:42:06	23:42:06	23:42:06			23:42:06	23:42:06	23:42:06	23:42:06	23:42:14	23:42:14	23:42:14	23:42:14	23:42:14	23:42:14			23:42:15	23:42:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:09
62	23:42:15	23:42:15	23:42:15	23:42:15	23:42:15	23:42:15			23:42:15	23:42:15	23:42:15	23:42:15	23:42:24	23:42:24	23:42:24	23:42:24	23:42:24	23:42:24			23:42:24	23:42:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
63	23:42:24	23:42:24	23:42:24	23:42:24	23:42:25	23:42:25			23:42:25	23:42:25	23:42:25	23:42:25	23:42:32	23:42:32	23:42:32	23:42:32	23:42:32	23:42:32			23:42:33	23:42:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:08
64	23:42:33	23:42:33	23:42:33	23:42:33	23:42:33	23:42:33			23:42:33	23:42:33	23:42:33	23:42:33	23:42:40	23:42:40	23:42:40	23:42:40	23:42:40	23:42:40			23:42:41	23:42:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:08
65	23:42:41	23:42:41	23:42:41	23:42:41	23:42:41	23:42:41			23:42:41	23:42:41	23:42:42	23:42:42	23:42:50	23:42:50	23:42:50	23:42:50	23:42:50	23:42:50			23:42:50	23:42:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
66	23:42:50	23:42:50	23:42:51	23:42:51	23:42:51	23:42:51			23:42:51	23:42:51	23:42:51	23:42:51	23:42:59	23:42:59	23:42:59	23:42:59	23:42:59	23:42:59			23:43:00	23:43:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:09
67	23:43:00	23:43:00	23:43:00	23:43:00	23:43:00	23:43:00			23:43:00	23:43:00	23:43:00	23:43:00	23:43:07	23:43:07	23:43:07	23:43:07	23:43:07	23:43:07			23:43:07	23:43:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
68	23:43:07	23:43:07	23:43:07	23:43:07	23:43:08	23:43:08			23:43:08	23:43:08	23:43:08	23:43:08	23:43:14	23:43:14	23:43:14	23:43:14	23:43:15	23:43:15			23:43:15	23:43:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
69	23:43:15	23:43:15	23:43:15	23:43:15	23:43:16	23:43:16			23:43:16	23:43:16	23:43:16	23:43:16	23:43:22	23:43:22	23:43:22	23:43:22	23:43:22	23:43:22			23:43:23	23:43:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:07
70	23:43:23	23:43:23	23:43:23	23:43:23	23:43:23	23:43:23			23:43:23	23:43:23	23:43:24	23:43:24	23:43:31	23:43:31	23:43:31	23:43:31	23:43:31	23:43:31	23:43:31	23:43:31	23:43:32	23:43:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00	00:00:00	00:00:00	00:00:08
71	23:43:32	23:43:32	23:43:32	23:43:32	23:43:32	23:43:32			23:43:32	23:43:32	23:43:32	23:43:32	23:43:40	23:43:40	23:43:40	23:43:40	23:43:40	23:43:40			23:43:41	23:43:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
72	23:43:41	23:43:41	23:43:41	23:43:41	23:43:41	23:43:41			23:43:41	23:43:41	23:43:41	23:43:41	23:43:48	23:43:48	23:43:48	23:43:48	23:43:48	23:43:48			23:43:49	23:43:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
